Pixel Values (RGB),"Facial Landmarks (e.g., eyes, nose, mouth)","Local Features (e.g., skin texture, wrinkles)","Global Structures (e.g., shape of the face)",Spatial Information (positioning of pixels),Contextual Information (surrounding pixels),Resolution and Scale of the face in the image
"95, 148, 232","Eyes: (1074, 242), (280, 516); Nose: (221, 22); Mouth: (796, 349)",Few wrinkles,Square face,Nose pixels at center,Darker pixels around the mouth,"1611x444 pixels, Face occupies 75% of the image"
"75, 201, 2","Eyes: (1644, 216), (240, 799); Nose: (702, 376); Mouth: (201, 758)",Freckles,Long face,Mouth pixels at top half,Lighter pixels around the eye,"1412x520 pixels, Face occupies 71% of the image"
"118, 147, 102","Eyes: (406, 437), (1265, 727); Nose: (1340, 357); Mouth: (1830, 558)",Few wrinkles,Long face,Nose pixels at bottom half,Lighter pixels around the nose,"820x1071 pixels, Face occupies 84% of the image"
"2, 201, 72","Eyes: (585, 282), (336, 794); Nose: (442, 1052); Mouth: (1186, 250)",Few wrinkles,Square face,Nose pixels at bottom half,Darker pixels around the mouth,"1220x939 pixels, Face occupies 14% of the image"
"84, 59, 43","Eyes: (1131, 922), (654, 756); Nose: (613, 121); Mouth: (876, 424)",Few wrinkles,Oval face,Eye pixels at center,Darker pixels around the nose,"690x359 pixels, Face occupies 37% of the image"
"238, 184, 122","Eyes: (1281, 433), (135, 794); Nose: (47, 1007); Mouth: (1638, 634)",Few wrinkles,Round face,Mouth pixels at bottom half,Darker pixels around the eye,"1529x580 pixels, Face occupies 62% of the image"
"87, 73, 41","Eyes: (1367, 705), (863, 521); Nose: (1384, 85); Mouth: (1467, 516)",Smooth skin,Round face,Eye pixels at bottom half,Darker pixels around the nose,"743x956 pixels, Face occupies 19% of the image"
"12, 220, 38","Eyes: (1609, 133), (1499, 1056); Nose: (931, 420); Mouth: (1329, 1031)",Freckles,Oval face,Mouth pixels at bottom half,Darker pixels around the nose,"989x342 pixels, Face occupies 35% of the image"
"138, 122, 167","Eyes: (656, 116), (635, 626); Nose: (636, 836); Mouth: (59, 27)",Prominent mole,Square face,Nose pixels at top half,Lighter pixels around the nose,"576x872 pixels, Face occupies 85% of the image"
"20, 152, 193","Eyes: (1862, 527), (1085, 722); Nose: (1860, 914); Mouth: (969, 104)",Prominent mole,Long face,Nose pixels at bottom half,Lighter pixels around the nose,"507x777 pixels, Face occupies 47% of the image"
"21, 53, 32","Eyes: (1359, 771), (1198, 778); Nose: (1914, 388); Mouth: (1260, 516)",Smooth skin,Round face,Eye pixels at top half,Darker pixels around the nose,"902x973 pixels, Face occupies 70% of the image"
"135, 232, 233","Eyes: (238, 886), (139, 622); Nose: (1344, 1054); Mouth: (371, 912)",Few wrinkles,Long face,Nose pixels at top half,Darker pixels around the mouth,"489x607 pixels, Face occupies 87% of the image"
"174, 178, 215","Eyes: (1000, 607), (332, 351); Nose: (268, 124); Mouth: (1527, 179)",Few wrinkles,Oval face,Mouth pixels at bottom half,Darker pixels around the mouth,"1168x882 pixels, Face occupies 30% of the image"
"134, 175, 226","Eyes: (248, 581), (953, 914); Nose: (1087, 625); Mouth: (499, 528)",Prominent mole,Square face,Eye pixels at center,Lighter pixels around the nose,"1109x643 pixels, Face occupies 28% of the image"
"61, 172, 101","Eyes: (1655, 506), (561, 977); Nose: (1575, 210); Mouth: (1606, 899)",Few wrinkles,Square face,Eye pixels at center,Lighter pixels around the nose,"1236x975 pixels, Face occupies 71% of the image"
"35, 40, 129","Eyes: (1457, 58), (399, 636); Nose: (1075, 925); Mouth: (102, 597)",Freckles,Oval face,Eye pixels at bottom half,Lighter pixels around the nose,"1748x835 pixels, Face occupies 35% of the image"
"18, 33, 202","Eyes: (423, 903), (579, 215); Nose: (1231, 962); Mouth: (896, 745)",Prominent mole,Long face,Nose pixels at top half,Darker pixels around the eye,"1010x733 pixels, Face occupies 19% of the image"
"169, 213, 127","Eyes: (1308, 508), (565, 883); Nose: (873, 942); Mouth: (454, 978)",Prominent mole,Square face,Mouth pixels at bottom half,Darker pixels around the eye,"1422x392 pixels, Face occupies 56% of the image"
"68, 234, 248","Eyes: (1071, 1075), (772, 898); Nose: (418, 126); Mouth: (1367, 804)",Few wrinkles,Oval face,Eye pixels at center,Lighter pixels around the eye,"1035x696 pixels, Face occupies 86% of the image"
"57, 149, 242","Eyes: (1325, 528), (1621, 278); Nose: (326, 972); Mouth: (1860, 154)",Few wrinkles,Oval face,Mouth pixels at top half,Darker pixels around the mouth,"1286x647 pixels, Face occupies 53% of the image"
"191, 35, 113","Eyes: (425, 302), (1485, 535); Nose: (855, 1066); Mouth: (262, 99)",Freckles,Long face,Mouth pixels at center,Darker pixels around the eye,"1418x911 pixels, Face occupies 66% of the image"
"61, 187, 190","Eyes: (1285, 500), (854, 769); Nose: (373, 522); Mouth: (1882, 73)",Few wrinkles,Round face,Eye pixels at top half,Darker pixels around the mouth,"505x447 pixels, Face occupies 19% of the image"
"204, 30, 56","Eyes: (222, 415), (611, 914); Nose: (873, 927); Mouth: (970, 665)",Freckles,Long face,Nose pixels at bottom half,Lighter pixels around the nose,"714x436 pixels, Face occupies 47% of the image"
"178, 235, 94","Eyes: (1227, 388), (1337, 500); Nose: (482, 275); Mouth: (1741, 801)",Few wrinkles,Long face,Eye pixels at bottom half,Darker pixels around the nose,"1126x436 pixels, Face occupies 70% of the image"
"233, 85, 30","Eyes: (174, 1068), (1705, 514); Nose: (267, 704); Mouth: (975, 283)",Freckles,Square face,Mouth pixels at top half,Darker pixels around the mouth,"1782x602 pixels, Face occupies 28% of the image"
"140, 120, 195","Eyes: (1344, 92), (279, 642); Nose: (1651, 968); Mouth: (522, 40)",Prominent mole,Long face,Eye pixels at center,Lighter pixels around the nose,"1579x713 pixels, Face occupies 17% of the image"
"241, 232, 243","Eyes: (1248, 698), (1056, 242); Nose: (1120, 953); Mouth: (307, 795)",Few wrinkles,Square face,Nose pixels at center,Darker pixels around the nose,"708x401 pixels, Face occupies 65% of the image"
"126, 193, 252","Eyes: (848, 305), (926, 144); Nose: (1628, 481); Mouth: (951, 1014)",Prominent mole,Long face,Mouth pixels at center,Lighter pixels around the mouth,"1384x1079 pixels, Face occupies 46% of the image"
"144, 125, 161","Eyes: (1484, 150), (1902, 743); Nose: (301, 247); Mouth: (1290, 777)",Few wrinkles,Long face,Mouth pixels at bottom half,Darker pixels around the mouth,"1786x1074 pixels, Face occupies 30% of the image"
"25, 223, 37","Eyes: (527, 922), (820, 904); Nose: (1433, 120); Mouth: (161, 998)",Prominent mole,Oval face,Eye pixels at bottom half,Darker pixels around the mouth,"716x907 pixels, Face occupies 22% of the image"
"114, 158, 61","Eyes: (815, 877), (668, 896); Nose: (279, 752); Mouth: (1590, 404)",Smooth skin,Oval face,Mouth pixels at bottom half,Lighter pixels around the nose,"825x1031 pixels, Face occupies 56% of the image"
"155, 120, 100","Eyes: (1341, 238), (522, 1052); Nose: (1085, 1013); Mouth: (1510, 330)",Few wrinkles,Round face,Eye pixels at top half,Lighter pixels around the eye,"1680x855 pixels, Face occupies 21% of the image"
"238, 131, 80","Eyes: (1057, 169), (879, 490); Nose: (51, 408); Mouth: (83, 867)",Prominent mole,Round face,Nose pixels at bottom half,Lighter pixels around the nose,"1840x954 pixels, Face occupies 65% of the image"
"28, 246, 101","Eyes: (1551, 944), (1591, 396); Nose: (663, 793); Mouth: (968, 447)",Few wrinkles,Round face,Eye pixels at top half,Darker pixels around the mouth,"1856x870 pixels, Face occupies 80% of the image"
"212, 91, 7","Eyes: (378, 453), (642, 945); Nose: (351, 1); Mouth: (549, 1009)",Few wrinkles,Round face,Eye pixels at bottom half,Darker pixels around the mouth,"1672x775 pixels, Face occupies 21% of the image"
"234, 53, 110","Eyes: (324, 504), (1895, 820); Nose: (269, 416); Mouth: (1020, 16)",Smooth skin,Square face,Mouth pixels at center,Lighter pixels around the eye,"938x1031 pixels, Face occupies 67% of the image"
"70, 120, 230","Eyes: (1511, 754), (1639, 629); Nose: (1714, 10); Mouth: (972, 373)",Smooth skin,Long face,Nose pixels at center,Lighter pixels around the eye,"1236x520 pixels, Face occupies 57% of the image"
"230, 56, 86","Eyes: (1521, 552), (1432, 1012); Nose: (880, 270); Mouth: (1552, 337)",Few wrinkles,Round face,Eye pixels at top half,Lighter pixels around the mouth,"1441x562 pixels, Face occupies 26% of the image"
"20, 82, 46","Eyes: (1631, 629), (1859, 933); Nose: (109, 413); Mouth: (392, 523)",Prominent mole,Long face,Nose pixels at top half,Darker pixels around the eye,"784x898 pixels, Face occupies 66% of the image"
"203, 215, 3","Eyes: (403, 943), (669, 78); Nose: (1315, 854); Mouth: (4, 921)",Few wrinkles,Round face,Eye pixels at bottom half,Darker pixels around the eye,"1900x1028 pixels, Face occupies 73% of the image"
"62, 91, 173","Eyes: (354, 500), (1320, 337); Nose: (1527, 457); Mouth: (943, 407)",Smooth skin,Oval face,Nose pixels at bottom half,Lighter pixels around the eye,"852x769 pixels, Face occupies 88% of the image"
"251, 117, 136","Eyes: (1340, 286), (296, 671); Nose: (1216, 873); Mouth: (1812, 784)",Prominent mole,Round face,Nose pixels at bottom half,Darker pixels around the mouth,"941x374 pixels, Face occupies 24% of the image"
"30, 208, 95","Eyes: (1667, 330), (805, 526); Nose: (522, 464); Mouth: (964, 637)",Few wrinkles,Long face,Mouth pixels at top half,Darker pixels around the eye,"1064x848 pixels, Face occupies 27% of the image"
"238, 23, 67","Eyes: (837, 813), (1456, 448); Nose: (637, 319); Mouth: (290, 50)",Few wrinkles,Square face,Mouth pixels at bottom half,Darker pixels around the eye,"563x725 pixels, Face occupies 12% of the image"
"170, 1, 67","Eyes: (192, 471), (749, 984); Nose: (268, 544); Mouth: (1329, 648)",Few wrinkles,Long face,Mouth pixels at bottom half,Darker pixels around the mouth,"556x787 pixels, Face occupies 73% of the image"
"97, 226, 169","Eyes: (279, 1009), (528, 695); Nose: (1397, 409); Mouth: (626, 853)",Smooth skin,Square face,Mouth pixels at top half,Lighter pixels around the mouth,"568x506 pixels, Face occupies 55% of the image"
"152, 153, 251","Eyes: (205, 511), (635, 879); Nose: (379, 579); Mouth: (847, 274)",Smooth skin,Round face,Mouth pixels at center,Darker pixels around the nose,"1910x739 pixels, Face occupies 30% of the image"
"233, 148, 184","Eyes: (1075, 671), (341, 1017); Nose: (1559, 785); Mouth: (1019, 220)",Few wrinkles,Round face,Mouth pixels at top half,Lighter pixels around the eye,"1015x381 pixels, Face occupies 22% of the image"
"91, 85, 204","Eyes: (389, 1066), (137, 550); Nose: (115, 157); Mouth: (1417, 865)",Freckles,Round face,Mouth pixels at bottom half,Darker pixels around the mouth,"1495x917 pixels, Face occupies 85% of the image"
"236, 191, 118","Eyes: (94, 530), (145, 399); Nose: (631, 223); Mouth: (834, 912)",Freckles,Oval face,Eye pixels at top half,Darker pixels around the nose,"686x709 pixels, Face occupies 74% of the image"
"236, 206, 234","Eyes: (530, 267), (1710, 641); Nose: (709, 920); Mouth: (962, 278)",Freckles,Round face,Nose pixels at bottom half,Darker pixels around the eye,"743x817 pixels, Face occupies 65% of the image"
"50, 162, 239","Eyes: (845, 122), (1613, 476); Nose: (1658, 849); Mouth: (150, 314)",Few wrinkles,Round face,Nose pixels at top half,Lighter pixels around the mouth,"1871x828 pixels, Face occupies 62% of the image"
"220, 221, 239","Eyes: (981, 885), (1706, 134); Nose: (1794, 903); Mouth: (381, 115)",Few wrinkles,Long face,Eye pixels at bottom half,Lighter pixels around the mouth,"488x696 pixels, Face occupies 26% of the image"
"254, 66, 32","Eyes: (1310, 652), (144, 386); Nose: (22, 1066); Mouth: (1168, 1051)",Freckles,Oval face,Eye pixels at center,Lighter pixels around the mouth,"1675x327 pixels, Face occupies 90% of the image"
"6, 75, 220","Eyes: (215, 1037), (551, 41); Nose: (322, 517); Mouth: (1259, 645)",Few wrinkles,Oval face,Eye pixels at top half,Lighter pixels around the mouth,"1766x921 pixels, Face occupies 82% of the image"
"56, 249, 221","Eyes: (1679, 751), (1805, 694); Nose: (1366, 900); Mouth: (1802, 86)",Smooth skin,Oval face,Mouth pixels at center,Lighter pixels around the mouth,"1907x558 pixels, Face occupies 55% of the image"
"146, 0, 229","Eyes: (926, 252), (1727, 610); Nose: (678, 423); Mouth: (411, 67)",Few wrinkles,Square face,Eye pixels at top half,Darker pixels around the eye,"1268x924 pixels, Face occupies 54% of the image"
"245, 107, 66","Eyes: (1771, 971), (321, 387); Nose: (956, 629); Mouth: (72, 78)",Few wrinkles,Round face,Nose pixels at center,Lighter pixels around the nose,"1206x579 pixels, Face occupies 81% of the image"
"181, 236, 146","Eyes: (662, 594), (829, 687); Nose: (1485, 433); Mouth: (1111, 236)",Freckles,Long face,Nose pixels at center,Lighter pixels around the mouth,"990x1020 pixels, Face occupies 49% of the image"
"69, 212, 206","Eyes: (464, 701), (1613, 986); Nose: (1082, 323); Mouth: (91, 1063)",Prominent mole,Oval face,Mouth pixels at top half,Darker pixels around the mouth,"1491x591 pixels, Face occupies 26% of the image"
"234, 109, 73","Eyes: (908, 259), (58, 371); Nose: (835, 228); Mouth: (1551, 977)",Prominent mole,Square face,Mouth pixels at bottom half,Darker pixels around the nose,"1490x539 pixels, Face occupies 59% of the image"
"78, 135, 152","Eyes: (1104, 443), (688, 564); Nose: (1807, 819); Mouth: (143, 606)",Smooth skin,Oval face,Mouth pixels at center,Darker pixels around the mouth,"1690x947 pixels, Face occupies 42% of the image"
"49, 56, 64","Eyes: (541, 1023), (563, 938); Nose: (1536, 537); Mouth: (505, 1078)",Few wrinkles,Oval face,Mouth pixels at center,Lighter pixels around the nose,"603x1014 pixels, Face occupies 58% of the image"
"138, 94, 231","Eyes: (1414, 641), (1485, 1032); Nose: (625, 411); Mouth: (800, 691)",Few wrinkles,Long face,Eye pixels at top half,Lighter pixels around the nose,"801x562 pixels, Face occupies 83% of the image"
"116, 200, 143","Eyes: (461, 526), (364, 649); Nose: (724, 748); Mouth: (1229, 926)",Smooth skin,Square face,Eye pixels at bottom half,Darker pixels around the eye,"1096x894 pixels, Face occupies 21% of the image"
"51, 135, 22","Eyes: (411, 989), (137, 762); Nose: (232, 130); Mouth: (824, 105)",Prominent mole,Long face,Nose pixels at top half,Lighter pixels around the eye,"1103x888 pixels, Face occupies 67% of the image"
"205, 69, 50","Eyes: (1892, 1080), (119, 7); Nose: (982, 9); Mouth: (233, 929)",Prominent mole,Oval face,Nose pixels at center,Lighter pixels around the nose,"547x581 pixels, Face occupies 46% of the image"
"86, 111, 203","Eyes: (1037, 137), (885, 917); Nose: (931, 323); Mouth: (1235, 210)",Freckles,Long face,Nose pixels at center,Lighter pixels around the eye,"945x612 pixels, Face occupies 56% of the image"
"114, 177, 69","Eyes: (335, 560), (776, 789); Nose: (921, 763); Mouth: (553, 434)",Few wrinkles,Long face,Nose pixels at bottom half,Darker pixels around the nose,"549x772 pixels, Face occupies 63% of the image"
"81, 34, 113","Eyes: (551, 815), (172, 29); Nose: (771, 349); Mouth: (1428, 179)",Freckles,Oval face,Eye pixels at bottom half,Darker pixels around the eye,"1422x1047 pixels, Face occupies 55% of the image"
"112, 68, 159","Eyes: (1507, 1067), (1359, 342); Nose: (1201, 927); Mouth: (659, 191)",Freckles,Long face,Nose pixels at bottom half,Darker pixels around the eye,"500x758 pixels, Face occupies 33% of the image"
"231, 238, 76","Eyes: (699, 649), (611, 883); Nose: (456, 557); Mouth: (1883, 934)",Smooth skin,Oval face,Nose pixels at top half,Darker pixels around the mouth,"1826x322 pixels, Face occupies 69% of the image"
"72, 55, 10","Eyes: (698, 596), (1642, 398); Nose: (344, 585); Mouth: (1316, 522)",Smooth skin,Oval face,Nose pixels at top half,Lighter pixels around the mouth,"964x766 pixels, Face occupies 85% of the image"
"70, 205, 155","Eyes: (1521, 912), (1843, 133); Nose: (1075, 145); Mouth: (66, 126)",Smooth skin,Oval face,Eye pixels at bottom half,Darker pixels around the eye,"1434x947 pixels, Face occupies 18% of the image"
"218, 110, 143","Eyes: (256, 450), (729, 443); Nose: (1136, 904); Mouth: (1413, 184)",Few wrinkles,Square face,Nose pixels at top half,Lighter pixels around the nose,"1405x414 pixels, Face occupies 41% of the image"
"142, 18, 51","Eyes: (253, 898), (1762, 561); Nose: (1164, 274); Mouth: (1575, 50)",Few wrinkles,Round face,Nose pixels at bottom half,Lighter pixels around the eye,"1080x969 pixels, Face occupies 86% of the image"
"105, 53, 97","Eyes: (489, 497), (1211, 376); Nose: (218, 566); Mouth: (1508, 428)",Freckles,Square face,Nose pixels at bottom half,Lighter pixels around the nose,"1795x932 pixels, Face occupies 40% of the image"
"30, 56, 152","Eyes: (1751, 585), (411, 889); Nose: (254, 916); Mouth: (1615, 593)",Freckles,Long face,Eye pixels at center,Darker pixels around the mouth,"1164x682 pixels, Face occupies 85% of the image"
"139, 112, 124","Eyes: (496, 1037), (804, 602); Nose: (209, 156); Mouth: (363, 761)",Smooth skin,Round face,Nose pixels at center,Lighter pixels around the mouth,"1457x344 pixels, Face occupies 49% of the image"
